,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,1,James Harden,HOU,30,61,39,22,36.7,34.4,9.9,22.7,43.5,4.4,12.6,35.2,10.1,11.8,86.1,1.0,5.3,6.4,7.4,4.5,1.7,0.9,3.4,56.4,19,4,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Bradley Beal,WAS,27,57,20,37,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Giannis Antetokounmpo,MIL,25,57,48,9,30.9,29.6,10.9,20.0,54.7,1.5,4.8,30.6,6.3,10.0,63.3,2.3,11.5,13.7,5.8,3.7,1.0,1.0,3.0,57.3,52,4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Trae Young,ATL,21,60,18,42,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,47.6,28,2,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Damian Lillard,POR,29,58,27,31,36.9,28.9,9.2,20.0,45.7,3.9,9.9,39.4,6.7,7.6,88.8,0.5,3.8,4.3,7.8,2.9,1.0,0.4,1.7,47.0,16,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Luka Doncic,DAL,21,54,34,20,33.3,28.7,9.5,20.6,46.1,2.9,9.1,31.8,6.8,9.1,75.2,1.3,8.0,9.3,8.7,4.2,1.1,0.2,2.5,52.5,34,14,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Russell Westbrook,HOU,31,53,34,19,35.9,27.5,10.7,22.6,47.4,1.0,3.8,25.4,5.1,6.5,77.7,1.8,6.3,8.0,7.0,4.5,1.7,0.3,3.5,49.1,21,8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Kyrie Irving,BKN,28,20,8,12,32.9,27.4,10.0,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Kawhi Leonard,LAC,29,51,38,13,32.2,26.9,9.3,19.9,46.9,2.1,5.7,36.6,6.1,6.9,88.9,1.0,6.3,7.3,5.0,2.7,1.8,0.6,1.9,47.6,13,1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Anthony Davis,LAL,27,55,43,12,34.3,26.7,9.2,18.1,51.1,1.2,3.5,33.5,7.0,8.3,84.5,2.3,7.1,9.4,3.1,2.5,1.5,2.4,2.5,52.0,27,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Karl-Anthony Towns,MIN,24,35,10,25,33.9,26.5,9.0,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,Devin Booker,PHX,23,62,26,36,36.1,26.1,8.8,18.0,48.7,2.0,5.6,36.0,6.5,7.1,91.6,0.4,3.7,4.2,6.6,3.9,0.7,0.3,3.0,40.0,10,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,LeBron James,LAL,35,60,47,13,34.9,25.7,9.8,19.6,49.8,2.2,6.4,34.9,4.0,5.7,69.7,1.0,6.9,7.9,10.6,4.0,1.2,0.5,1.8,52.3,42,13,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Zach LaVine,CHI,25,60,20,40,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40.0,2,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Brandon Ingram,NOP,22,56,23,33,34.3,24.3,8.4,18.0,46.6,2.4,6.3,38.7,5.1,5.9,85.8,0.9,5.4,6.3,4.3,3.1,1.0,0.7,2.9,40.1,9,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Donovan Mitchell,UTA,23,63,40,23,34.4,24.2,8.9,19.6,45.3,2.5,6.8,36.4,4.0,4.6,85.9,0.7,3.7,4.4,4.2,2.7,1.0,0.2,2.4,36.8,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Pascal Siakam,TOR,26,53,40,13,35.5,23.6,8.7,18.9,45.9,2.2,6.0,35.9,4.2,5.2,80.0,1.1,6.5,7.5,3.6,2.5,1.0,0.9,2.8,41.4,12,0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,Zion Williamson,NOP,19,19,10,9,29.7,23.6,9.1,15.4,58.9,0.3,0.7,46.2,5.2,8.0,64.5,2.9,3.9,6.8,2.2,2.7,0.8,0.5,1.7,36.2,2,0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Jayson Tatum,BOS,22,59,41,18,34.6,23.6,8.5,18.9,44.8,2.8,7.1,39.8,3.8,4.7,80.6,1.0,6.1,7.1,2.9,2.2,1.4,0.9,2.1,41.2,10,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,Joel Embiid,PHI,26,44,28,16,30.2,23.4,7.5,15.9,47.4,1.3,3.7,34.8,7.1,8.7,81.4,2.8,9.0,11.8,3.1,3.1,0.9,1.3,3.4,45.8,34,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
